Gene stable ID,Gene name,NCBI gene ID,UniProtKB/Swiss-Prot ID,RefSeq peptide ID
ENSMUSG00000075111,Gm13762,258900,,NP_667109
ENSMUSG00000029477,Morn3,74890,,
ENSMUSG00000075111,Gm13762,258900,,
ENSMUSG00000037197,Rbm17,76938,,
ENSMUSG00000015134,Aldh1a3,56847,Q9JHW9,NP_444310
ENSMUSG00000024082,Ndufaf7,73694,,
ENSMUSG00000042439,Zfp532,328977,Q6NXK2,
ENSMUSG00000028952,Zbtb48,100090,,
ENSMUSG00000075110,Olfr1214,258899,,
ENSMUSG00000015134,Aldh1a3,56847,,
ENSMUSG00000042439,Zfp532,328977,,
ENSMUSG00000042439,Zfp532,328977,,
ENSMUSG00000075110,Olfr1214,258899,,
ENSMUSG00000028952,Zbtb48,100090,,
ENSMUSG00000075110,Olfr1214,258899,,NP_667108
ENSMUSG00000042439,Zfp532,328977,,
ENSMUSG00000021359,Tfap2a,21418,,
ENSMUSG00000029501,Ankle2,71782,Q6P1H6,NP_001240743
ENSMUSG00000093939,Trav4d-3,,,
ENSMUSG00000047617,Paxx,227622,,
ENSMUSG00000021359,Tfap2a,21418,,
ENSMUSG00000021359,Tfap2a,21418,,
ENSMUSG00000029501,Ankle2,71782,Q6P1H6,NP_082198
ENSMUSG00000058802,Olfr97,258505,,
ENSMUSG00000018651,Tada2a,217031,Q8CHV6,NP_766150
ENSMUSG00000031073,Fgf15,14170,O35622,NP_032029
ENSMUSG00000021359,Tfap2a,21418,,
ENSMUSG00000058802,Olfr97,258505,,
ENSMUSG00000042439,Zfp532,328977,,
ENSMUSG00000058802,Olfr97,258505,,
ENSMUSG00000044042,Fmn1,14260,Q05860,
ENSMUSG00000058802,Olfr97,258505,,
ENSMUSG00000111073,Olfr977-ps1,,,
ENSMUSG00000063511,Snrnp70,20637,,
ENSMUSG00000026490,Cdc42bpa,226751,,
ENSMUSG00000094789,Gm28490,,,
ENSMUSG00000058802,Olfr97,258505,,
ENSMUSG00000018651,Tada2a,217031,,
ENSMUSG00000063511,Snrnp70,20637,,
ENSMUSG00000094789,Gm28490,,,
ENSMUSG00000096129,Trav12d-2,,,
ENSMUSG00000058802,Olfr97,258505,,NP_666723
ENSMUSG00000021359,Tfap2a,21418,,NP_001288603
ENSMUSG00000021359,Tfap2a,21418,,NP_035677
ENSMUSG00000042439,Zfp532,328977,Q6NXK2,
ENSMUSG00000015134,Aldh1a3,56847,,
ENSMUSG00000096129,Trav12d-2,,,
ENSMUSG00000031073,Fgf15,14170,,
ENSMUSG00000015134,Aldh1a3,56847,,
ENSMUSG00000028613,Lrp8,16975,,
ENSMUSG00000028431,Elp1,230233,Q7TT37,NP_080355
ENSMUSG00000094268,Ighd5-8,,,
ENSMUSG00000028613,Lrp8,16975,,
ENSMUSG00000028613,Lrp8,16975,,NP_444303
ENSMUSG00000029501,Ankle2,71782,Q6P1H6,
ENSMUSG00000095658,Vmn2r-ps130,,,
ENSMUSG00000028613,Lrp8,16975,,
ENSMUSG00000063660,Olfr98,258503,,NP_666721
ENSMUSG00000096884,Ighd5-4,,,
ENSMUSG00000063511,Snrnp70,20637,,
ENSMUSG00000063511,Snrnp70,20637,,
ENSMUSG00000096250,Ighd2-6,,,
ENSMUSG00000029255,Gnrhr,14715,Q01776,NP_034453
ENSMUSG00000090824,Olfr1344,257882,,
ENSMUSG00000029255,Gnrhr,14715,,NP_001297580
ENSMUSG00000095592,Ighd5-7,,,
ENSMUSG00000063511,Snrnp70,20637,,
ENSMUSG00000063780,Olfr282,258449,,
ENSMUSG00000057836,Xlr3a,22445,Q60595,
ENSMUSG00000090824,Olfr1344,257882,,NP_796035
ENSMUSG00000029255,Gnrhr,14715,,NP_001297582
ENSMUSG00000063780,Olfr282,258449,,
ENSMUSG00000021790,Dydc1,69496,,
ENSMUSG00000093876,Ighd5-3,,,
ENSMUSG00000063780,Olfr282,258449,,
ENSMUSG00000028613,Lrp8,16975,,
ENSMUSG00000063780,Olfr282,258449,,NP_666668
ENSMUSG00000091055,Siglec15,620235,,NP_001094508
ENSMUSG00000028613,Lrp8,16975,,
ENSMUSG00000000049,Apoh,11818,Q01339,NP_038503
ENSMUSG00000045929,Gm20715,,,
ENSMUSG00000027109,Sp3,20687,O70494,NP_001091895
ENSMUSG00000027109,Sp3,20687,O70494,NP_001018052
ENSMUSG00000028613,Lrp8,16975,,
ENSMUSG00000000049,Apoh,11818,,
ENSMUSG00000028613,Lrp8,16975,,
ENSMUSG00000000049,Apoh,11818,,
ENSMUSG00000095495,Trav9d-3,,,
ENSMUSG00000021790,Dydc1,69496,Q9D9T0,
ENSMUSG00000027109,Sp3,20687,O70494,
ENSMUSG00000000049,Apoh,11818,,
ENSMUSG00000021790,Dydc1,69496,Q9D9T0,NP_081370
ENSMUSG00000005899,Smpd4,77626,Q6ZPR5,NP_001158082
ENSMUSG00000021752,Kctd6,71393,Q8BNL5,NP_082058
ENSMUSG00000021752,Kctd6,71393,Q8BNL5,NP_001292866
ENSMUSG00000026889,Rbm18,67889,Q9CR83,NP_001342508
ENSMUSG00000026889,Rbm18,67889,Q9CR83,NP_001342507
ENSMUSG00000026889,Rbm18,67889,Q9CR83,NP_001153107
ENSMUSG00000026889,Rbm18,67889,Q9CR83,NP_080710
ENSMUSG00000016626,Nlrp14,76858,Q6B966,NP_001002894
ENSMUSG00000016626,Nlrp14,76858,,
ENSMUSG00000021752,Kctd6,71393,Q8BNL5,NP_001292865
ENSMUSG00000034452,Slc24a1,214111,,NP_659062
ENSMUSG00000078269,Gm14180,,,
ENSMUSG00000026490,Cdc42bpa,226751,,NP_001346475
ENSMUSG00000026490,Cdc42bpa,226751,,NP_001028457
ENSMUSG00000026889,Rbm18,67889,,
ENSMUSG00000093536,Smim17,100042450,,
ENSMUSG00000005899,Smpd4,77626,,
ENSMUSG00000094607,Trav12d-3,,,
ENSMUSG00000030155,Clec2e,232409,,NP_705726
ENSMUSG00000075705,Msrb1,27361,Q9JLC3,NP_038787
ENSMUSG00000057836,Xlr3a,22445,,NP_001104254
ENSMUSG00000026889,Rbm18,67889,,
ENSMUSG00000075705,Msrb1,27361,Q9JLC3,NP_001333597
ENSMUSG00000004933,Matk,17179,,NP_001272784
ENSMUSG00000095897,Ighd2-5,,,
ENSMUSG00000095125,Vmn1r198,171254,,
ENSMUSG00000094758,Trav13d-2,,,
ENSMUSG00000050671,Ism2,217738,,NP_001277231
ENSMUSG00000057836,Xlr3a,22445,,
ENSMUSG00000094758,Trav13d-2,,,
ENSMUSG00000103203,Gm37327,,,
ENSMUSG00000093536,Smim17,100042450,,NP_001128224
ENSMUSG00000046798,Cldn12,64945,Q9ET43,NP_075028
ENSMUSG00000026889,Rbm18,67889,,
ENSMUSG00000095125,Vmn1r198,171254,,
ENSMUSG00000096396,Ighd5-2,,,
ENSMUSG00000095560,Trav14d-2,,,
ENSMUSG00000005899,Smpd4,77626,Q6ZPR5,NP_001158083
ENSMUSG00000050671,Ism2,217738,,
ENSMUSG00000095125,Vmn1r198,171254,,
ENSMUSG00000095560,Trav14d-2,,,
ENSMUSG00000044292,Olfr978,259109,,
ENSMUSG00000095444,Ighd2-4,,,
ENSMUSG00000046798,Cldn12,64945,Q9ET43,NP_001180590
ENSMUSG00000025134,Alyref,21681,O08583,NP_035698
ENSMUSG00000095125,Vmn1r198,171254,,NP_598981
ENSMUSG00000057836,Xlr3a,22445,,
ENSMUSG00000038827,Abitram,230234,Q80ZQ9,NP_001074889
ENSMUSG00000044292,Olfr978,259109,,NP_667316
ENSMUSG00000046798,Cldn12,64945,Q9ET43,NP_001180588
ENSMUSG00000026490,Cdc42bpa,226751,,
ENSMUSG00000089724,Krtap4-8,665992,,NP_001079016
ENSMUSG00000096568,Ighd2-3,,,
ENSMUSG00000046798,Cldn12,64945,,
ENSMUSG00000078668,Gm11595,100040276,,NP_001119794
ENSMUSG00000026490,Cdc42bpa,226751,,NP_001333734
ENSMUSG00000037306,Man1c1,230815,,NP_997120
ENSMUSG00000075069,Olfr1264,258206,,
ENSMUSG00000057278,Snrpg,68011,P62309,NP_080782
ENSMUSG00000026490,Cdc42bpa,226751,Q3UU96,NP_001333733
ENSMUSG00000046798,Cldn12,64945,Q9ET43,NP_001180589
ENSMUSG00000075069,Olfr1264,258206,,NP_067343
ENSMUSG00000026490,Cdc42bpa,226751,,NP_001346471
ENSMUSG00000024236,Svil,225115,Q8K4L3,
ENSMUSG00000059473,Olfr979,259112,,
ENSMUSG00000069292,Vmn1r199,171247,,
ENSMUSG00000037306,Man1c1,230815,,
ENSMUSG00000069292,Vmn1r199,171247,,
ENSMUSG00000038827,Abitram,230234,,
ENSMUSG00000069292,Vmn1r199,171247,,
ENSMUSG00000069292,Vmn1r199,171247,,NP_598974
ENSMUSG00000038827,Abitram,230234,,
ENSMUSG00000062175,Tgif2,228839,Q8C0Y1,NP_775572
ENSMUSG00000015093,Clic3,69454,Q9D7P7,NP_081361
ENSMUSG00000054206,Gzmm,16904,,NP_001289414
ENSMUSG00000054206,Gzmm,16904,,NP_032530
ENSMUSG00000031072,LTO1,72284,,NP_001334466
ENSMUSG00000061184,Tmprss11c,435845,Q1JRP2,NP_001025468
ENSMUSG00000026490,Cdc42bpa,226751,,
ENSMUSG00000062175,Tgif2,228839,,NP_001278053
ENSMUSG00000059473,Olfr979,259112,,NP_667319
ENSMUSG00000076630,Ighd1-1,,,
ENSMUSG00000061184,Tmprss11c,435845,,
ENSMUSG00000062175,Tgif2,228839,,
ENSMUSG00000005899,Smpd4,77626,,
ENSMUSG00000026887,Mrrf,67871,Q9D6S7,NP_080698
ENSMUSG00000005899,Smpd4,77626,Q6ZPR5,NP_001158081
ENSMUSG00000024236,Svil,225115,Q8K4L3,NP_001334378
ENSMUSG00000015093,Clic3,69454,,
ENSMUSG00000105953,Trav15d-2-dv6d-2,,,
ENSMUSG00000026887,Mrrf,67871,,
ENSMUSG00000026490,Cdc42bpa,226751,,
ENSMUSG00000026490,Cdc42bpa,226751,,
ENSMUSG00000024236,Svil,225115,,
ENSMUSG00000093953,Trav3d-3,,,
ENSMUSG00000024236,Svil,225115,Q8K4L3,
ENSMUSG00000093953,Trav3d-3,,,
ENSMUSG00000060254,Olfr980,259110,,
ENSMUSG00000025135,Anapc11,66156,Q9CPX9,NP_079665
ENSMUSG00000026490,Cdc42bpa,226751,,
ENSMUSG00000090868,Trav9d-4,,,
ENSMUSG00000024236,Svil,225115,,
ENSMUSG00000024236,Svil,225115,,
ENSMUSG00000090868,Trav9d-4,,,
ENSMUSG00000041359,Tcl1,21432,P56280,NP_033363
ENSMUSG00000060254,Olfr980,259110,,NP_667317
ENSMUSG00000031072,LTO1,72284,,NP_001348192
ENSMUSG00000031072,LTO1,72284,,NP_082460
ENSMUSG00000096505,Trav4d-4,,,
ENSMUSG00000041359,Tcl1,21432,,NP_001276397
ENSMUSG00000024236,Svil,225115,,
ENSMUSG00000031072,LTO1,72284,,
ENSMUSG00000004933,Matk,17179,,NP_034898
ENSMUSG00000025135,Anapc11,66156,Q9CPX9,NP_001033319
ENSMUSG00000073016,Uprt,331487,B1AVZ0,NP_001074658
ENSMUSG00000031072,LTO1,72284,,NP_001334465
ENSMUSG00000108011,Gm44596,,,
ENSMUSG00000041359,Tcl1,21432,,NP_001296414
ENSMUSG00000004933,Matk,17179,,NP_001272783
ENSMUSG00000024236,Svil,225115,,
ENSMUSG00000031072,LTO1,72284,,
ENSMUSG00000041359,Tcl1,21432,,NP_001296413
ENSMUSG00000041359,Tcl1,21432,,
ENSMUSG00000024236,Svil,225115,,
ENSMUSG00000046000,Naa11,97243,Q3UX61,NP_001028363
ENSMUSG00000004933,Matk,17179,,
ENSMUSG00000004933,Matk,17179,,NP_001272782
ENSMUSG00000051076,Vtcn1,242122,Q7TSP5,NP_848709
ENSMUSG00000024236,Svil,225115,Q8K4L3,NP_694793
ENSMUSG00000032560,Dnajc13,235567,,NP_001346669
ENSMUSG00000032560,Dnajc13,235567,,NP_001156498
ENSMUSG00000060923,Acyp2,75572,P56375,NP_083620
ENSMUSG00000056216,Cebpg,12611,P53568,NP_034014
ENSMUSG00000004933,Matk,17179,,
ENSMUSG00000032560,Dnajc13,235567,,
ENSMUSG00000001119,Col6a1,12833,Q04857,NP_034063
ENSMUSG00000004933,Matk,17179,,
ENSMUSG00000118575,BX908741.1,,,
ENSMUSG00000056216,Cebpg,12611,P53568,
ENSMUSG00000032560,Dnajc13,235567,,
ENSMUSG00000022387,Brd1,223770,,NP_001028446
ENSMUSG00000050215,Olfr70,56014,,NP_062358
ENSMUSG00000070348,Ccnd1,12443,P25322,NP_031657
ENSMUSG00000037995,Igsf9,93842,,
ENSMUSG00000032560,Dnajc13,235567,,
ENSMUSG00000043015,Nemp2,227094,Q8CB65,NP_001136119
ENSMUSG00000032560,Dnajc13,235567,,
ENSMUSG00000027422,Rrbp1,81910,Q99PL5,NP_598329
ENSMUSG00000006705,Pknox1,18771,O70477,NP_057879
ENSMUSG00000046450,Olfr71,56015,,
ENSMUSG00000022387,Brd1,223770,,
ENSMUSG00000046450,Olfr71,56015,,
ENSMUSG00000046450,Olfr71,56015,,NP_062359
ENSMUSG00000050965,Prkca,18750,,NP_035231
ENSMUSG00000006705,Pknox1,18771,,
ENSMUSG00000005899,Smpd4,77626,,
ENSMUSG00000032560,Dnajc13,235567,,
ENSMUSG00000024590,Lmnb1,16906,P14733,NP_034851
ENSMUSG00000006705,Pknox1,18771,,
ENSMUSG00000034560,Washc4,319277,,
ENSMUSG00000020839,Tmigd1,66601,Q9D7L8,
ENSMUSG00000005899,Smpd4,77626,,
ENSMUSG00000006705,Pknox1,18771,O70477,
ENSMUSG00000050965,Prkca,18750,,
ENSMUSG00000005899,Smpd4,77626,,
ENSMUSG00000020839,Tmigd1,66601,,
ENSMUSG00000096106,Trav5d-4,,,
ENSMUSG00000002949,Timm44,21856,O35857,NP_035722
ENSMUSG00000001517,Foxm1,14235,,NP_032047
ENSMUSG00000006705,Pknox1,18771,,
ENSMUSG00000095756,Trav6d-7,,,
ENSMUSG00000005899,Smpd4,77626,,
ENSMUSG00000006705,Pknox1,18771,O70477,
ENSMUSG00000001517,Foxm1,14235,,
ENSMUSG00000020839,Tmigd1,66601,Q9D7L8,NP_079931
ENSMUSG00000105721,C920008G01Rik,,,
ENSMUSG00000006705,Pknox1,18771,,
ENSMUSG00000005899,Smpd4,77626,,
ENSMUSG00000006705,Pknox1,18771,,
ENSMUSG00000043015,Nemp2,227094,,
ENSMUSG00000001517,Foxm1,14235,,
ENSMUSG00000005899,Smpd4,77626,,
ENSMUSG00000006705,Pknox1,18771,,
ENSMUSG00000005899,Smpd4,77626,,
ENSMUSG00000006705,Pknox1,18771,,
ENSMUSG00000001517,Foxm1,14235,,
ENSMUSG00000005899,Smpd4,77626,,
ENSMUSG00000006705,Pknox1,18771,,
ENSMUSG00000005899,Smpd4,77626,,
ENSMUSG00000018909,Arrb1,109689,Q8BWG8,NP_796205
ENSMUSG00000043015,Nemp2,227094,Q8CB65,
ENSMUSG00000018909,Arrb1,109689,Q8BWG8,NP_835738
ENSMUSG00000037995,Igsf9,93842,,
ENSMUSG00000043015,Nemp2,227094,,
ENSMUSG00000033906,Zdhhc15,108672,Q8BGJ0,NP_780567
ENSMUSG00000018909,Arrb1,109689,,
ENSMUSG00000018909,Arrb1,109689,,
ENSMUSG00000074994,Qser1,99003,,
ENSMUSG00000041068,4930596D02Rik,239036,,NP_001028938
ENSMUSG00000029234,Tmem165,21982,P52875,NP_035756
ENSMUSG00000074994,Qser1,99003,,NP_001116799
ENSMUSG00000050088,1600012H06Rik,67912,Q9DAY5,NP_001077350
ENSMUSG00000050088,1600012H06Rik,67912,Q9DAY5,NP_080727
ENSMUSG00000050088,1600012H06Rik,67912,Q9DAY5,NP_001077349
ENSMUSG00000068037,Mas1,17171,P30554,NP_032578
ENSMUSG00000038572,Bpifb5,228802,,NP_659139
ENSMUSG00000050087,Cby3,,,
ENSMUSG00000050087,Cby3,,Q9CVN6,
ENSMUSG00000079055,Slc8a3,110893,S4R2P9,NP_001161392
ENSMUSG00000029234,Tmem165,21982,,
ENSMUSG00000050088,1600012H06Rik,67912,Q9DAY5,NP_001077351
ENSMUSG00000079055,Slc8a3,110893,,
ENSMUSG00000018909,Arrb1,109689,,
ENSMUSG00000026401,Cd55b,13137,,NP_031853
ENSMUSG00000048582,Gja3,14611,Q64448,NP_058671
ENSMUSG00000048582,Gja3,14611,Q64448,NP_001258552
ENSMUSG00000068037,Mas1,17171,P30554,
ENSMUSG00000026401,Cd55b,13137,,NP_001304290
ENSMUSG00000068037,Mas1,17171,P30554,
ENSMUSG00000050088,1600012H06Rik,67912,Q9DAY5,
ENSMUSG00000048582,Gja3,14611,,
ENSMUSG00000068037,Mas1,17171,P30554,
ENSMUSG00000063157,Csn2,12991,P10598,NP_034102
ENSMUSG00000018909,Arrb1,109689,,
ENSMUSG00000068037,Mas1,17171,,
ENSMUSG00000032987,Olfr281,258277,,
ENSMUSG00000079055,Slc8a3,110893,S4R2P9,NP_536688
ENSMUSG00000068037,Mas1,17171,,
ENSMUSG00000032987,Olfr281,258277,,NP_666392
ENSMUSG00000068037,Mas1,17171,,
ENSMUSG00000028950,Tas1r1,110326,,NP_114073
ENSMUSG00000079055,Slc8a3,110893,,
ENSMUSG00000068037,Mas1,17171,,
ENSMUSG00000074500,Zfp558,72230,,
ENSMUSG00000043535,Setx,269254,,
ENSMUSG00000068037,Mas1,17171,P30554,
ENSMUSG00000068037,Mas1,17171,P30554,
ENSMUSG00000078262,Krtap4-9,665998,,NP_001079017
ENSMUSG00000063157,Csn2,12991,,NP_001272949
ENSMUSG00000063157,Csn2,12991,,NP_001272950
ENSMUSG00000074500,Zfp558,72230,,NP_082436
ENSMUSG00000074500,Zfp558,72230,,NP_083211
ENSMUSG00000063157,Csn2,12991,,NP_001272952
ENSMUSG00000063157,Csn2,12991,,NP_001272953
ENSMUSG00000034263,Ints14,69882,Q8R3P6,NP_001071099
ENSMUSG00000037845,Fdxacb1,382137,Q3UY23,NP_941077
ENSMUSG00000030245,Golt1b,66964,Q9CR60,NP_080148
ENSMUSG00000078261,Gm11596,670464,,NP_001092781
ENSMUSG00000033268,Duox1,99439,,NP_001092767
ENSMUSG00000063157,Csn2,12991,P10598,
ENSMUSG00000034263,Ints14,69882,Q8R3P6,NP_780362
ENSMUSG00000063157,Csn2,12991,,
ENSMUSG00000063157,Csn2,12991,,NP_001272951
ENSMUSG00000037845,Fdxacb1,382137,,
ENSMUSG00000074796,Slc4a11,269356,A2AJN7,NP_001074631
ENSMUSG00000078260,Gm11569,670472,,NP_001092782
ENSMUSG00000022139,Mbnl2,105559,Q8C181,NP_997398
ENSMUSG00000037845,Fdxacb1,382137,Q3UY23,
ENSMUSG00000037845,Fdxacb1,382137,,
ENSMUSG00000073894,Rbmxl2,76572,,NP_083936
ENSMUSG00000078259,Gm11554,670482,,NP_001092783
ENSMUSG00000022139,Mbnl2,105559,,NP_001347306
ENSMUSG00000022139,Mbnl2,105559,Q8C181,
ENSMUSG00000026107,Nabp1,109019,Q8BGW5,
ENSMUSG00000022139,Mbnl2,105559,Q8C181,
ENSMUSG00000026107,Nabp1,109019,Q8BGW5,
ENSMUSG00000048294,Krtap4-13,69464,,NP_081363
ENSMUSG00000074796,Slc4a11,269356,,
ENSMUSG00000025347,Mettl7b,71664,Q9DD20,NP_082129
ENSMUSG00000022139,Mbnl2,105559,,
ENSMUSG00000034560,Washc4,319277,Q3UMB9,NP_001028547
ENSMUSG00000060600,Eno3,13808,,
ENSMUSG00000026687,Aldh9a1,56752,,NP_064377
ENSMUSG00000078258,Gm11564,670496,,NP_001094084
ENSMUSG00000022139,Mbnl2,105559,Q8C181,NP_001347305
ENSMUSG00000022139,Mbnl2,105559,Q8C181,NP_780550
ENSMUSG00000051804,Adam6b,238405,,NP_001009545
ENSMUSG00000023883,Phf10,72057,,NP_077212
ENSMUSG00000001518,Itfg2,101142,Q91WI7,NP_598688
ENSMUSG00000001518,Itfg2,101142,,
ENSMUSG00000001518,Itfg2,101142,,
ENSMUSG00000001518,Itfg2,101142,,
ENSMUSG00000023883,Phf10,72057,,
ENSMUSG00000072473,1700024G13Rik,67085,Q3KNL4,NP_001029209
ENSMUSG00000093818,Ighd3-1,,,
ENSMUSG00000028521,Slc35d1,242585,A2AKQ0,NP_808400
ENSMUSG00000101073,Vmn1r200,171246,,
ENSMUSG00000001518,Itfg2,101142,,
ENSMUSG00000010554,Mettl16,67493,,
ENSMUSG00000001518,Itfg2,101142,,
ENSMUSG00000028521,Slc35d1,242585,,NP_001343205
ENSMUSG00000101073,Vmn1r200,171246,,
ENSMUSG00000076632,Gm16968,,,
ENSMUSG00000028521,Slc35d1,242585,,
ENSMUSG00000101073,Vmn1r200,171246,,
ENSMUSG00000010554,Mettl16,67493,Q9CQG2,NP_080473
ENSMUSG00000101073,Vmn1r200,171246,,NP_598973
ENSMUSG00000010554,Mettl16,67493,,
ENSMUSG00000046079,Lrrc8d,231549,Q8BGR2,NP_001116240
ENSMUSG00000078257,2300003K06Rik,100502865,,NP_001182312
ENSMUSG00000010554,Mettl16,67493,,
ENSMUSG00000079304,Tex52,71149,Q3TTI8,
ENSMUSG00000026107,Nabp1,109019,Q8BGW5,
ENSMUSG00000079304,Tex52,71149,Q3TTI8,NP_081973
ENSMUSG00000046079,Lrrc8d,231549,Q8BGR2,NP_848816
ENSMUSG00000026107,Nabp1,109019,Q8BGW5,NP_082972
ENSMUSG00000060600,Eno3,13808,P21550,NP_001263214
ENSMUSG00000060600,Eno3,13808,P21550,NP_001129534
ENSMUSG00000027360,Hdc,15186,P23738,NP_032256
ENSMUSG00000027422,Rrbp1,81910,,NP_077243
ENSMUSG00000046079,Lrrc8d,231549,,
ENSMUSG00000032059,Alg9,102580,Q8VDI9,NP_598742
ENSMUSG00000046474,Krtap4-16,435285,,NP_001013845
ENSMUSG00000026107,Nabp1,109019,Q8BGW5,
ENSMUSG00000026107,Nabp1,109019,Q8BGW5,NP_001297478
ENSMUSG00000046079,Lrrc8d,231549,,
ENSMUSG00000005374,Tbl2,27368,Q9R099,NP_038791
ENSMUSG00000026107,Nabp1,109019,Q8BGW5,
ENSMUSG00000060600,Eno3,13808,P21550,NP_031959
ENSMUSG00000062157,Ifnlr1,242700,Q8CGK5,NP_777276
ENSMUSG00000026107,Nabp1,109019,Q8BGW5,NP_001297477
ENSMUSG00000046079,Lrrc8d,231549,,
ENSMUSG00000060600,Eno3,13808,,
ENSMUSG00000060600,Eno3,13808,,
ENSMUSG00000032059,Alg9,102580,,
ENSMUSG00000043945,Adam6a,238406,,NP_777479
ENSMUSG00000060600,Eno3,13808,,
ENSMUSG00000032059,Alg9,102580,,
ENSMUSG00000061259,Tmprss11d,231382,Q8VHK8,NP_663536
ENSMUSG00000024070,Prkd3,75292,Q8K1Y2,
ENSMUSG00000060600,Eno3,13808,P21550,
ENSMUSG00000061259,Tmprss11d,231382,Q8VHK8,
ENSMUSG00000043535,Setx,269254,A2AKX3,NP_932150
ENSMUSG00000096405,4930474N05Rik,218921,,NP_778173
ENSMUSG00000006442,Srm,20810,Q64674,NP_033298
ENSMUSG00000005374,Tbl2,27368,,
ENSMUSG00000032059,Alg9,102580,,
ENSMUSG00000005374,Tbl2,27368,,
ENSMUSG00000096405,4930474N05Rik,218921,,
ENSMUSG00000095643,Trav13d-3,,,
ENSMUSG00000032059,Alg9,102580,,
ENSMUSG00000072875,Gpr27,14761,O54897,NP_032184
ENSMUSG00000096405,4930474N05Rik,218921,,
ENSMUSG00000005374,Tbl2,27368,,
ENSMUSG00000005374,Tbl2,27368,,
ENSMUSG00000043535,Setx,269254,,
ENSMUSG00000030157,Clec2d,93694,Q91V08,NP_444339
ENSMUSG00000037461,Ints7,77065,,NP_001293133
ENSMUSG00000037461,Ints7,77065,,NP_001293132
ENSMUSG00000037461,Ints7,77065,,NP_848747
ENSMUSG00000022838,Eaf2,106389,Q91ZD6,NP_001345031
ENSMUSG00000022838,Eaf2,106389,Q91ZD6,NP_598872
ENSMUSG00000046352,Gjb2,14619,Q00977,NP_032151
ENSMUSG00000024070,Prkd3,75292,,NP_001164475
ENSMUSG00000059910,Olfr1265,258340,,
ENSMUSG00000030536,Iqgap1,29875,Q9JKF1,NP_057930
ENSMUSG00000025592,Dach2,93837,Q925Q8,NP_001276661
ENSMUSG00000059910,Olfr1265,258340,,NP_666455
ENSMUSG00000032561,Acpp,56318,Q8CE08,NP_997551
ENSMUSG00000030536,Iqgap1,29875,,
ENSMUSG00000024070,Prkd3,75292,,NP_001164476
ENSMUSG00000063480,Snu13,20826,Q9D0T1,NP_035612
ENSMUSG00000063480,Snu13,100862468,Q9D0T1,NP_035612
ENSMUSG00000076633,Ighv5-2,,,
ENSMUSG00000025592,Dach2,93837,,NP_001276662
ENSMUSG00000076633,Ighv5-2,,,
ENSMUSG00000030069,Prok2,50501,Q9QXU7,NP_001032628
ENSMUSG00000032561,Acpp,56318,Q8CE08,NP_062781
ENSMUSG00000016206,H2-M3,14991,,NP_038847
ENSMUSG00000025348,Itga7,16404,,NP_032424
ENSMUSG00000032656,March3,320253,Q8BRX9,NP_796089
ENSMUSG00000062778,Chia1,81600,Q91XA9,NP_075675
ENSMUSG00000024070,Prkd3,75292,,
ENSMUSG00000025348,Itga7,16404,,NP_001317089
ENSMUSG00000032656,March3,320253,,
ENSMUSG00000025592,Dach2,93837,,NP_001276663
ENSMUSG00000062778,Chia1,81600,,
ENSMUSG00000024070,Prkd3,75292,Q8K1Y2,NP_083515
ENSMUSG00000030069,Prok2,50501,Q9QXU7,NP_056583
ENSMUSG00000025348,Itga7,16404,,
ENSMUSG00000037995,Igsf9,93842,Q05BQ1,NP_001139272
ENSMUSG00000062542,Syt9,60510,,
ENSMUSG00000076795,Trav8d-2,,,
ENSMUSG00000032561,Acpp,56318,,
ENSMUSG00000076795,Trav8d-2,,,
ENSMUSG00000042138,Msantd2,235184,,
ENSMUSG00000025592,Dach2,93837,Q925Q8,NP_001136042
ENSMUSG00000097929,Tunar,,,
ENSMUSG00000030069,Prok2,50501,,NP_001163890
ENSMUSG00000025592,Dach2,93837,Q925Q8,NP_291083
ENSMUSG00000097929,Tunar,,,
ENSMUSG00000037157,Il22ra1,230828,Q80XZ4,NP_839988
ENSMUSG00000030069,Prok2,50501,Q9QXU7,
ENSMUSG00000022838,Eaf2,106389,Q91ZD6,NP_001106872
ENSMUSG00000076796,Trav16d-dv11,,,
ENSMUSG00000028179,Cth,107869,Q8VCN5,NP_666065
ENSMUSG00000037995,Igsf9,93842,Q05BQ1,
ENSMUSG00000030536,Iqgap1,29875,,
ENSMUSG00000033629,Hacd3,57874,Q8K2C9,NP_067320
ENSMUSG00000042138,Msantd2,235184,Q6NZR2,NP_666334
ENSMUSG00000030536,Iqgap1,29875,,
ENSMUSG00000062542,Syt9,60510,,
ENSMUSG00000001520,Nrip2,60345,,
ENSMUSG00000038201,Kcna7,16495,Q17ST2,NP_034726
ENSMUSG00000037995,Igsf9,93842,Q05BQ1,NP_291086
ENSMUSG00000042138,Msantd2,235184,,
ENSMUSG00000042138,Msantd2,235184,,
ENSMUSG00000037971,1110032A03Rik,68721,Q9D131,NP_075972
ENSMUSG00000001520,Nrip2,60345,,
ENSMUSG00000037995,Igsf9,93842,,
ENSMUSG00000022838,Eaf2,106389,,
ENSMUSG00000061972,Olfr99,258508,,
ENSMUSG00000037971,1110032A03Rik,68721,,NP_001348037
ENSMUSG00000021374,Nup153,218210,,NP_786925
ENSMUSG00000062542,Syt9,60510,Q9R0N9,NP_068689
ENSMUSG00000061972,Olfr99,258508,,NP_666726
ENSMUSG00000022838,Eaf2,106389,Q91ZD6,NP_001345031
